league,season,n_teams,spearman_r,spearman_p
NBA,1949,17,0.7340294840294839,0.0007948459796998
NBA,1950,11,0.8430123260851314,0.001117434529041
NBA,1951,10,0.6439906260034909,0.0444820052000428
NBA,1952,10,0.7500139429824981,0.0124753208388896
NBA,1953,9,0.7372881355932204,0.0234021655883273
NBA,1954,8,0.4545538027176646,0.2578339358004932
NBA,1955,8,0.078086880944303,0.8541811838932193
NBA,1956,8,-0.2822138999690523,0.4982736738969311
NBA,1957,8,0.4819626927118799,0.2265105557960853
NBA,1958,8,0.745122224799006,0.0338844360269055
NBA,1959,8,0.8734939759036143,0.0045933584238803
NBA,1960,8,0.7185757571479554,0.0446226100244191
NBA,1961,9,0.9279661016949152,0.0003076821981731
NBA,1962,9,0.8487394957983194,0.0038099535994344
NBA,1963,9,0.8017519989412359,0.0093530809726384
NBA,1964,9,0.8565477091591587,0.0031903339792093
NBA,1965,9,0.7782494901428224,0.0135059728100068
NBA,1966,10,0.6116236550659085,0.0602386481649533
NBA,1967,12,0.7235960350022186,0.0078108134843238
NBA,1968,14,0.7922188267203045,0.0007302706134213
NBA,1969,14,0.5784294135042938,0.0302388695404386
NBA,1970,17,0.6239277130118611,0.0074354580339074
NBA,1971,17,0.8480622814176615,1.704459453682499e-05
NBA,1972,17,0.8800744664839042,3.185053680309972e-06
NBA,1973,17,0.810179309366352,8.05381632966515e-05
NBA,1974,18,0.6738687251501462,0.0021669511009233
NBA,1975,18,0.4885654885654887,0.0396572977492852
NBA,1976,22,0.5035759249151822,0.0168804819243976
NBA,1977,22,0.5147916156753942,0.0142255193429888
NBA,1978,22,0.477984292717669,0.0244512667230971
NBA,1979,22,0.9072678776022404,5.761427326707751e-09
NBA,1980,23,0.8234424027825835,1.390348475501137e-06
NBA,1981,23,0.7594942557302109,2.6336714896643795e-05
NBA,1982,23,0.7046863593764033,0.0001739379216436
NBA,1983,23,0.7729993683421176,1.5319439490332118e-05
NBA,1984,23,0.6651774838790541,0.0005336431643588
NBA,1985,23,0.6544597170788535,0.0007037251481421
NBA,1986,23,0.9093847582241994,1.8751529587871634e-09
NBA,1987,23,0.7325062034739455,7.057114293339671e-05
NBA,1988,25,0.7933101314771848,2.240740996443905e-06
NBA,1989,27,0.8521072897004718,1.70769822231332e-08
NBA,1990,27,0.7515361936507898,6.230735994171241e-06
NBA,1991,27,0.8011669064187339,5.150571945085541e-07
